Date,Open,High,Low,Close,Adj Close,Volume
1994-09-12,777.729980,779.580017,773.900024,777.909973,777.909973,323300000
1994-09-19,778.130005,779.090027,756.820007,757.460022,757.460022,1519120000
1994-09-26,756.950012,765.210022,752.489990,764.289978,764.289978,1416780000
1994-10-03,764.469971,764.479980,737.619995,749.960022,749.960022,1470720000
1994-10-10,751.330017,774.739990,751.330017,767.080017,767.080017,1600520000
1994-10-17,767.070007,772.539978,763.390015,765.380005,765.380005,1653420000
1994-10-24,766.219971,776.150024,754.469971,776.150024,776.150024,1587690000
1994-10-31,775.869995,778.809998,766.080017,766.080017,766.080017,1584290000
1994-11-07,766.219971,774.400024,761.469971,762.119995,762.119995,1396960000
1994-11-14,763.609985,771.780029,762.960022,764.669983,764.669983,1548940000
1994-11-21,767.030029,768.000000,728.780029,742.520020,742.520020,1101050000
1994-11-28,743.080017,754.289978,739.280029,745.020020,745.020020,1405800000
1994-12-05,745.530029,747.809998,710.940002,719.049988,719.049988,1472040000
1994-12-12,719.239990,732.020020,712.479980,729.070007,729.070007,1517820000
1994-12-19,728.750000,743.169983,726.260010,742.190002,742.190002,1530390000
1994-12-26,743.599976,751.979980,740.789978,751.960022,751.960022,1113800000
1995-01-02,751.309998,751.309998,740.469971,749.690002,749.690002,1149530000
1995-01-09,750.190002,762.320007,750.099976,762.159973,762.159973,1565980000
1995-01-16,762.299988,774.309998,759.320007,762.049988,762.049988,1661030000
1995-01-23,759.320007,763.340027,753.809998,758.909973,758.909973,1492290000
1995-01-30,759.630005,773.940002,751.049988,772.059998,772.059998,1544940000
1995-02-06,772.820007,790.820007,772.820007,790.429993,790.429993,1709670000
1995-02-13,789.700012,796.020020,786.830017,786.969971,786.969971,1666400000
1995-02-20,787.729980,794.500000,783.510010,791.080017,791.080017,1250340000
1995-02-27,789.549988,798.799988,783.729980,798.789978,798.789978,1543050000
1995-03-06,796.530029,802.219971,790.349976,802.219971,802.219971,1564810000
1995-03-13,802.219971,811.229980,801.369995,808.330017,808.330017,1619250000
1995-03-20,808.349976,818.669983,806.700012,818.659973,818.659973,1682380000
1995-03-27,817.880005,829.919983,806.500000,817.210022,817.210022,1787020000
1995-04-03,816.059998,820.479980,810.890015,814.690002,814.690002,1668230000
1995-04-10,814.440002,832.900024,813.900024,832.640015,832.640015,1361580000
1995-04-17,835.150024,839.500000,812.750000,823.440002,823.440002,2000910000
1995-04-24,823.250000,844.419983,821.530029,843.979980,843.979980,1879980000
1995-05-01,844.719971,856.789978,839.429993,843.530029,843.530029,1815850000
1995-05-08,843.479980,859.880005,842.760010,858.940002,858.940002,1877220000
1995-05-15,859.739990,874.510010,857.979980,864.570007,864.570007,1861620000
1995-05-22,865.570007,885.919983,865.419983,871.869995,871.869995,1882550000
1995-05-29,872.770020,875.119995,851.719971,872.969971,872.969971,1402900000
1995-06-05,875.250000,886.299988,875.250000,884.380005,884.380005,1899430000
1995-06-12,885.549988,908.650024,885.549988,908.650024,908.650024,1992680000
1995-06-19,909.900024,941.169983,909.840027,938.869995,938.869995,2228110000
1995-06-26,938.330017,939.140015,913.020020,933.450012,933.450012,1968530000
1995-07-03,933.989990,969.770020,931.989990,969.760010,969.760010,1438830000
1995-07-10,970.409973,999.590027,970.109985,999.330017,999.330017,2379240000
1995-07-17,1000.729980,1007.179993,936.969971,961.770020,961.770020,2497500000
1995-07-24,964.119995,1011.840027,964.119995,1005.280029,1005.280029,2355000000
1995-07-31,1006.429993,1023.030029,970.809998,991.090027,991.090027,2138980000
1995-08-07,992.780029,1007.039978,992.780029,1004.109985,1004.109985,2070630000
1995-08-14,1004.190002,1034.130005,1003.349976,1031.280029,1031.280029,2235160000
1995-08-21,1033.020020,1035.189941,1016.390015,1019.969971,1019.969971,2167640000
1995-08-28,1020.700012,1021.489990,989.479980,1019.469971,1019.469971,1938540000
1995-09-04,1021.729980,1060.040039,1021.729980,1060.030029,1060.030029,1805510000
1995-09-11,1060.469971,1070.229980,1047.699951,1051.099976,1051.099976,2413500000
1995-09-18,1052.000000,1066.949951,1041.680054,1053.390015,1053.390015,2297210000
1995-09-25,1053.530029,1053.910034,1008.440002,1043.540039,1043.540039,2174870000
1995-10-02,1041.390015,1043.040039,1000.030029,1012.039978,1012.039978,2142720000
1995-10-09,1006.809998,1024.319946,959.359985,1018.380005,1018.380005,2237770000
1995-10-16,1018.330017,1050.650024,1016.510010,1039.530029,1039.530029,2204070000
1995-10-23,1035.280029,1042.130005,1007.440002,1025.550049,1025.550049,2189680000
1995-10-30,1028.170044,1065.660034,1028.170044,1065.660034,1065.660034,2274770000
1995-11-06,1065.630005,1068.810059,1038.630005,1063.869995,1063.869995,2338030000
1995-11-13,1063.209961,1065.780029,1033.209961,1045.030029,1045.030029,2273020000
1995-11-20,1048.069946,1049.890015,1016.580017,1030.170044,1030.170044,1531080000
1995-11-27,1034.000000,1061.880005,1029.069946,1055.310059,1055.310059,2508740000
1995-12-04,1057.949951,1074.849976,1048.270020,1062.410034,1062.410034,2587220000
1995-12-11,1064.680054,1065.729980,1028.219971,1030.479980,1030.479980,2519270000
1995-12-18,1029.119995,1046.890015,1001.530029,1046.890015,1046.890015,2662260000
1995-12-25,1047.560059,1052.180054,1039.560059,1052.130005,1052.130005,1708670000
1996-01-01,1052.829956,1058.920044,1017.690002,1033.469971,1033.469971,2084270000
1996-01-08,1034.939941,1035.619995,987.979980,1008.229980,1008.229980,2290400000
1996-01-15,1009.960022,1019.520020,977.789978,1018.450012,1018.450012,2706080000
1996-01-22,1019.719971,1046.000000,1019.140015,1040.959961,1040.959961,2707720000
1996-01-29,1042.530029,1076.319946,1039.869995,1072.109985,1072.109985,2682070000
1996-02-05,1072.949951,1098.849976,1070.800049,1094.599976,1094.599976,2822400000
1996-02-12,1094.839966,1098.939941,1079.939941,1090.709961,1090.709961,2488620000
1996-02-19,1085.520020,1121.890015,1080.030029,1117.790039,1117.790039,2170150000
1996-02-26,1116.530029,1119.099976,1082.969971,1086.079956,1086.079956,2652100000
1996-03-04,1088.910034,1099.069946,1057.869995,1063.729980,1063.729980,2591820000
1996-03-11,1065.000000,1099.660034,1064.640015,1099.589966,1099.589966,2426850000
1996-03-18,1102.780029,1119.839966,1096.229980,1102.219971,1102.219971,2523860000
1996-03-25,1104.310059,1107.089966,1079.900024,1101.400024,1101.400024,2519150000
1996-04-01,1105.770020,1119.349976,1102.939941,1118.209961,1118.209961,1989710000
1996-04-08,1106.319946,1117.689941,1092.439941,1100.939941,1100.939941,2653740000
1996-04-15,1102.800049,1143.310059,1102.689941,1138.699951,1138.699951,2824020000
1996-04-22,1143.079956,1188.890015,1143.079956,1186.890015,1186.890015,3325490000
1996-04-29,1186.670044,1200.189941,1178.239990,1184.599976,1184.599976,3165210000
1996-05-06,1186.829956,1202.780029,1163.209961,1202.760010,1202.760010,3485300000
1996-05-13,1204.329956,1243.300049,1204.030029,1241.880005,1241.880005,3225070000
1996-05-20,1246.000000,1252.810059,1240.790039,1247.800049,1247.800049,3341840000
1996-05-27,1249.599976,1251.229980,1222.949951,1243.430054,1243.430054,2491950000
1996-06-03,1242.540039,1254.119995,1206.530029,1229.760010,1229.760010,3095690000
1996-06-10,1231.500000,1240.780029,1213.180054,1213.180054,1213.180054,2649100000
1996-06-17,1215.300049,1217.130005,1152.790039,1175.439941,1175.439941,2880060000
1996-06-24,1177.930054,1186.329956,1147.750000,1185.020020,1185.020020,2854250000
1996-07-01,1185.640015,1198.040039,1158.339966,1158.349976,1158.349976,1735000000
1996-07-08,1157.689941,1160.979980,1094.219971,1103.489990,1103.489990,2707780000
1996-07-15,1102.520020,1109.859985,1008.440002,1097.680054,1097.680054,3337430000
1996-07-22,1096.280029,1097.699951,1017.640015,1079.439941,1079.439941,2710240000
1996-07-29,1079.209961,1125.979980,1063.199951,1124.920044,1124.920044,2395350000
1996-08-05,1127.910034,1141.400024,1113.869995,1137.270020,1137.270020,2305880000
1996-08-12,1136.689941,1139.800049,1123.920044,1133.650024,1133.650024,2079100000
1996-08-19,1133.920044,1146.819946,1118.619995,1143.050049,1143.050049,2102250000
1996-08-26,1144.359985,1153.900024,1137.290039,1141.500000,1141.500000,2131340000
1996-09-02,1133.300049,1145.810059,1123.140015,1139.390015,1139.390015,1767320000
1996-09-09,1140.790039,1188.680054,1140.790039,1188.670044,1188.670044,2585220000
1996-09-16,1190.040039,1221.030029,1187.500000,1219.689941,1219.689941,2914510000
1996-09-23,1216.689941,1237.260010,1207.800049,1230.050049,1230.050049,2855650000
1996-09-30,1229.140015,1247.569946,1214.599976,1247.560059,1247.560059,2781530000
1996-10-07,1247.140015,1256.719971,1232.640015,1248.270020,1248.270020,2714600000
1996-10-14,1250.670044,1269.619995,1238.239990,1242.479980,1242.479980,2682400000
1996-10-21,1241.949951,1253.319946,1215.079956,1222.599976,1222.599976,2732770000
1996-10-28,1225.390015,1229.630005,1202.359985,1221.780029,1221.780029,2701250000
1996-11-04,1223.469971,1257.619995,1218.229980,1257.510010,1257.510010,2821250000
1996-11-11,1258.239990,1274.760010,1254.329956,1261.800049,1261.800049,2818850000
1996-11-18,1263.079956,1274.660034,1250.209961,1274.359985,1274.359985,2838430000
1996-11-25,1275.410034,1293.750000,1271.540039,1292.609985,1292.609985,1950630000
1996-12-02,1294.780029,1313.380005,1258.890015,1287.680054,1287.680054,3069950000
1996-12-09,1296.180054,1328.949951,1281.430054,1284.910034,1284.910034,3014420000
1996-12-16,1289.719971,1304.560059,1251.030029,1288.560059,1288.560059,3023130000
1996-12-23,1290.680054,1297.150024,1276.930054,1291.380005,1291.380005,1519770000
1996-12-30,1295.180054,1310.839966,1272.339966,1310.680054,1310.680054,2237130000
1997-01-06,1314.339966,1332.020020,1310.630005,1332.020020,1332.020020,3113850000
1997-01-13,1335.449951,1350.530029,1328.709961,1349.050049,1349.050049,3308420000
1997-01-20,1351.140015,1400.530029,1349.050049,1363.829956,1363.829956,3511810000
1997-01-27,1367.410034,1381.969971,1349.280029,1379.849976,1379.849976,3128830000
1997-02-03,1383.969971,1384.510010,1339.640015,1357.709961,1357.709961,3091960000
1997-02-10,1360.459961,1373.750000,1319.689941,1367.189941,1367.189941,3267330000
1997-02-17,1369.160034,1370.430054,1332.050049,1334.319946,1334.319946,2402250000
1997-02-24,1328.400024,1355.670044,1296.880005,1309.000000,1309.000000,3276260000
1997-03-03,1306.209961,1332.339966,1301.829956,1311.800049,1311.800049,3066920000
1997-03-10,1312.719971,1326.079956,1291.699951,1292.969971,1292.969971,2844010000
1997-03-17,1289.359985,1292.969971,1239.760010,1254.069946,1254.069946,3029060000
1997-03-24,1251.069946,1277.359985,1230.959961,1249.510010,1249.510010,2310580000
1997-03-31,1246.349976,1246.349976,1196.219971,1236.729980,1236.729980,3014460000
1997-04-07,1245.829956,1267.410034,1206.900024,1206.900024,1206.900024,2709520000
